9/25/14 20:25,,,,,,,,,,Picks
101ÊN.Y. Giants,169,170,170,170,175,170,170,170,165,
102ÊWashington,-186,-200,-190,-200,-200,-200,-190,-200,-190,
"WAS-QB-Robert Griffin III-OUT | TV: CBS | MOSTLY CLOUDY, 30% CHANCE SHOWERS EARLY. NORTH WIND 10-15. GAME TEMP 66, RH 78%",,,,,,,,,,
9/28/14 13:00,,,,,,,,,,Picks
251ÊMiami,-200,-200,-200,-200,-200,-200,-200,-200,-200,
252ÊOakland,178,170,175,170,175,170,175,170,170,
"TV: CBS, DTV: 711",,,,,,,,,,
9/28/14 13:00,,,,,,,,,,Picks
253ÊGreen Bay,100,-125,-125,-125,-125,,-125,-125,-120,
254ÊChicago,-120,105,105,105,105,,105,105,100,
"TV: FOX, DTV: 705",,,,,,,,,,
9/28/14 13:00,,,,,,,,,,
255ÊBuffalo,153,150,150,150,155,150,150,155,150,
256ÊHouston,-167,-170,-170,-170,-175,-170,-170,-175,-170,
"HOU-RB-Arian Foster-? | TV: CBS, DTV: 709",,,,,,,,,,
9/28/14 13:00,,,,,,,,,,Picks
257ÊTennessee,241,270,300,300,300,310,280,300,275,
258ÊIndianapolis,-269,-330,-360,-360,-360,-380,-340,-400,-350,
"TEN-QB-Jake Locker-? | TV: CBS, DTV: 710",,,,,,,,,,
9/28/14 13:00,,,,,,,,,,Picks
259ÊCarolina,133,155,165,155,155,170,155,155,157,
260ÊBaltimore,-147,-175,-185,-175,-175,-200,-175,-175,-180,
"BAL-RB-Ray Rice-OUT | TV: CBS, DTV: 708",,,,,,,,,,
9/28/14 13:00,,,,,,,,,,
261ÊDetroit,-120,-125,-125,-125,-125,,-122,-125,-125,
262ÊN.Y. Jets,100,105,105,105,105,,102,105,105,
"TV: FOX, DTV: 706",,,,,,,,,,
9/28/14 13:00,,,,,,,,,,Picks
263ÊTampa Bay,269,300,300,290,300,310,300,300,285,
264ÊPittsburgh,-311,-360,-360,-350,-360,-380,-370,-400,-370,
"TB-RB-Doug Martin-Probable | TB-QB-Josh McCown-OUT | TV: FOX, DTV: 707",,,,,,,,,,
9/28/14 16:05,,,,,,,,,,Picks
265ÊJacksonville,702,650,650,,650,650,650,650,650,
266ÊSan Diego,-948,-1000,-1000,,-1000,-950,-1000,-1000,-1000,
"JAC-QB-Blake Bortles-Probable | SD-RB-Ryan Mathews-OUT | TV: CBS, DTV: 712",,,,,,,,,,
9/28/14 16:25,,,,,,,,,,Picks
267ÊPhiladelphia,196,205,220,225,205,230,210,210,200,
268ÊSan Francisco,-224,-245,-260,-265,-245,-270,-250,-270,-240,
"TV: FOX, DTV: 714",,,,,,,,,,
9/28/14 16:25,,,,,,,,,,
269ÊAtlanta,-167,-150,-155,-155,-150,-150,-150,-150,-150,
270ÊMinnesota,153,130,135,135,130,130,130,130,130,
"ATL-WR-Roddy White-Probable | MIN-QB-Matt Cassel-OUT | MIN-RB-Adrian Peterson-OUT | TV: FOX, DTV: 713",,,,,,,,,,
9/28/14 20:30,,,,,,,,,,Picks
271ÊNew Orleans,-157,-165,-165,-170,-165,-160,-160,-165,-165,
272ÊDallas,143,145,145,150,145,140,140,145,145,
TV: NBC,,,,,,,,,,
9/29/14 20:30,,,,,,,,,,Picks
273ÊNew England,-200,-180,-185,-180,-185,-185,-180,-190,-185,
274ÊKansas City,178,160,165,160,165,165,160,165,160,
done
